prop_name,monthly_rent,location,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Residensi Vista Wirajaya,1800.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,884,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall","Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",Kuala Lumpur
One Maxim,1300.0,Kuala Lumpur - Sentul,3.0,1.0,2.0,819,Partially Furnished,"Parking, Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Cooking Allowed,Kuala Lumpur
M Centura,2500.0,Kuala Lumpur - Sentul,3.0,1.0,2.0,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
PV9 Residences @ Taman Melati,2300.0,Kuala Lumpur - Setapak,3.0,2.0,2.0,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Majestic Maxim,1350.0,Kuala Lumpur - Cheras,2.0,1.0,1.0,650,Partially Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Residensi KepongMas,1100.0,Kuala Lumpur - Kepong,3.0,2.0,2.0,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Bayu Sentul Condominium,1700.0,Kuala Lumpur - Sentul,3.0,2.0,2.0,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Washing Machine",Kuala Lumpur
Vista Angkasa,1800.0,Kuala Lumpur - Bangsar South,3.0,1.0,2.0,1200,Partially Furnished,"Parking, Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
The Nest Residence @ Genting Klang,1600.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,770,Fully Furnished,"Parking, Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool",Air-Cond,Kuala Lumpur
Sky Awani 3 Residence Setpak,1600.0,Kuala Lumpur - Setapak,3.0,2.0,2.0,800,Fully Furnished,"Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
M Centura,1650.0,Kuala Lumpur - Sentul,3.0,2.0,2.0,850,Partially Furnished,Parking,"Cooking Allowed, Air-Cond",Kuala Lumpur
M Centura,1200.0,Kuala Lumpur - Sentul,2.0,1.0,1.0,646,Not Furnished,"Parking, Gymnasium, Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track",None,Kuala Lumpur
OG Heights,1200.0,Kuala Lumpur - Pantai,2.0,1.0,2.0,1000,Partially Furnished,"Parking, Jogging Track, Tennis Court, Lift, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
8 Petaling,2599.0,Kuala Lumpur - Sri Petaling,4.0,3.0,5.0,1899,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Delima J Apartment,1400.0,Kuala Lumpur - Desa Pandan,3.0,1.0,2.0,1000,Partially Furnished,"Playground, Security, Parking","Air-Cond, Cooking Allowed",Kuala Lumpur
The Nest Residence @ Genting Klang,900.0,Kuala Lumpur - Setapak,1.0,1.0,1.0,360,Fully Furnished,"Swimming Pool, Minimart, Tennis Court, Squash Court, Parking, Playground, Gymnasium, Jogging Track, Security, Lift",None,Kuala Lumpur
Hedgeford 10 Residences @ Wangsa Maju,1200.0,Kuala Lumpur - Wangsa Maju,1.0,1.0,1.0,521,Partially Furnished,"Security, Swimming Pool, Jogging Track, Sauna, Minimart, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Establishment,2500.0,Kuala Lumpur - Brickfields,1.0,1.0,1.0,468,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Henge Kepong,2200.0,Kuala Lumpur - Kepong,3.0,2.0,2.0,1100,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Security, Tennis Court, Lift, Multipurpose hall, Parking, Gymnasium, Barbeque area, Minimart, Squash Court, Sauna, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Sofiya Residences,2300.0,Kuala Lumpur - Desa ParkCity,3.0,1.0,2.0,862,Fully Furnished,"Playground, Security, Parking, Gymnasium, Sauna, Jogging Track, Barbeque area, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Suasana Lumayan,1500.0,Kuala Lumpur - Cheras,4.0,1.0,2.0,1142,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Vista Komanwel A,1600.0,Kuala Lumpur - Bukit Jalil,3.0,2.0,2.0,1224,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Lakeville Residence,1900.0,Kuala Lumpur - Jalan Ipoh,3.0,2.0,2.0,1193,Partially Furnished,"Gymnasium, Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Arte Plus Jalan Ampang,2100.0,Kuala Lumpur - Ampang,3.0,2.0,2.0,1200,Fully Furnished,"Parking, Gymnasium, Jogging Track, Playground, Security, Lift, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Vista Langkawi @ PV18,1399.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,926,Partially Furnished,None,None,Kuala Lumpur
Residensi Alam Damai (PR1MA @ Alam Damai),1300.0,Kuala Lumpur - Cheras,3.0,1.0,3.0,935,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",Cooking Allowed,Kuala Lumpur
Platinum OUG Residence,1450.0,Kuala Lumpur - Kuchai Lama,3.0,1.0,2.0,1100,Partially Furnished,"Security, Playground, Gymnasium, Lift, Parking",None,Kuala Lumpur
Residensi Pandanmas 1,1500.0,Kuala Lumpur - Desa Pandan,3.0,1.0,2.0,900,Partially Furnished,"Minimart, Gymnasium, Lift, Parking, Security, Swimming Pool, Playground, Jogging Track, Barbeque area, Multipurpose hall","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur
